Transaction ID,Timestamp,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status
4d3db980-46cd-4158-a812-dcb77055d0d2,22-06-24 04:06,Tiya Mall,4161803452@okaxis,Mohanlal Golla,7776849307@okybl,3907.34,FAILED
099ee548-2fc1-4811-bf92-559c467ca792,19-06-24 06:04,Mohanlal Bakshi,8908837379@okaxis,Mehul Sankaran,7683454560@okaxis,8404.55,SUCCESS
d4c05732-6b1b-4bab-90b9-efe09d252b99,04-06-24 04:56,Kismat Bora,4633654150@okybl,Diya Goel,2598130823@okicici,941.88,SUCCESS
e8df92ee-8b04-4133-af5a-5f412180c8ab,09-06-24 09:56,Ayesha Korpal,7018842771@okhdfcbank,Rhea Kothari,2246623650@okaxis,8926,SUCCESS
e7d675d3-04f1-419c-a841-7a04662560b7,25-06-24 08:38,Jivin Batta,1977143985@okybl,Baiju Issac,5245672729@okybl,2800.55,SUCCESS
865cfff6-e345-4bae-a4ed-2c35c3a67fc7,17-06-24 11:24,Kismat Rama,5438757524@okicici,Pihu Walia,7567741566@okicici,1865.15,SUCCESS
10b78cb6-0a05-429a-8cf5-7ac40b97cd37,24-06-24 20:15,Ivana Tak,0518391082@okaxis,Ehsaan Baria,2677492476@okhdfcbank,4829.13,SUCCESS
2582bdc0-4ea3-4a92-8329-72cd84b429f6,23-06-24 13:01,Sara Khanna,8203474864@oksbi,Tiya Virk,9427710364@oksbi,4680.11,FAILED
9a981fdf-f953-4fc6-8a7d-bfc26f1ea4dc,30-06-24 08:43,Anvi Dalal,8893886778@okhdfcbank,Pari Lal,0762409234@okaxis,1563.3,FAILED
718cebcd-cec3-49d5-a24b-d4f6df6ca25f,24-06-24 09:15,Rasha Das,3530841200@okicici,Advik Mahal,2825774999@oksbi,6248.55,SUCCESS
f7392e11-52b1-49b0-8da8-e71128d99808,05-06-24 18:39,Sumer Chandran,2881077862@oksbi,Amira Yohannan,3359034997@okicici,1272.55,FAILED
35f5cee7-d7a2-42a7-b94f-1d3e54b0bd2e,17-06-24 17:16,Raghav Sridhar,5240349344@okhdfcbank,Shayak Jain,0884485131@okaxis,5465.41,FAILED
